team,avg_club_form_score,value_weighted_club_form_score,top5_value_weighted_club_form_score,top11_value_weighted_club_form_score,star_player_club_form_score,inactive_high_value_players,club_form_data_coverage,low_club_form_data_coverage,club_form_signal
Algeria,0.014454195571629585,0.551226786531079,0.706355287357406,0.57384071663179,0.799714234597217,2,0.64,False,0.57384071663179
Argentina,0.46250560526969164,0.8321533133875816,1.1962580316547364,0.9290644033816297,1.2917672393514918,1,0.8076923076923077,False,0.9290644033816297
Australia,-0.3288117109807806,-0.008933905510525616,0.059931097490515055,-0.012885618933374969,-1.1856042505255124,5,0.5,True,-0.012885618933374969
Austria,0.4321060466852401,0.6555131227129766,0.6767448550465406,0.7260080705753884,0.985872671902859,0,0.8461538461538461,False,0.7260080705753884
Belgium,0.7699139279825076,0.8083382626714981,0.8685587974555881,0.8215924732301232,1.305552677033248,0,1.0,False,0.8215924732301232
Bosnia and Herzegovina,-0.004554243529144602,0.813096541505593,1.3169983350425023,0.9218217226546898,1.4525018986025997,4,0.64,False,0.9218217226546898
Brazil,0.36136048493554307,0.7663647744937209,1.0526628469249442,0.8973397474059439,1.4390161416836897,2,0.6923076923076923,False,0.8973397474059439
Cabo Verde,-0.21596912245947517,0.34662692829724373,0.5042269055937776,0.3664204104391507,0.9736979240739378,6,0.5238095238095238,True,0.3664204104391507
Canada,-0.44035285605845187,0.5354588899788979,0.8288620957886794,0.5623658403892107,0.8286608586748708,5,0.4,True,0.5623658403892107
Colombia,0.008940620277249529,0.9334599702986015,1.3635800403966436,1.0302046733207781,1.9323071277337158,3,0.5384615384615384,True,1.0302046733207781
Cote d'Ivoire,0.6879089717797329,0.7590553114046756,0.8504957030497596,0.7369656972134996,0.5059560109347174,0,0.9230769230769231,False,0.7369656972134996
Croatia,0.5757098709368129,0.7196415288332969,0.7757944723661241,0.6965762037394615,0.6670940312281266,1,0.8461538461538461,False,0.6965762037394615
Curacao,-0.3836295612204061,-0.18737679915760275,-0.09327365670352859,-0.15830580788754312,-1.039937772664217,5,0.4,True,-0.15830580788754312
Czechia,0.16925517190780073,0.57590847437982,0.7694610645364516,0.5942464903171373,1.4605721679214956,2,0.8461538461538461,False,0.5942464903171373
DR Congo,0.08203905894080371,0.31654607204559415,0.48544745006797835,0.32142286623272914,0.9244508667123464,4,0.75,False,0.32142286623272914
Ecuador,-0.12800330951176028,0.5584472881350694,0.6895053026988437,0.615953417246349,0.5049982675954306,2,0.6,False,0.615953417246349
Egypt,-0.7172975864916886,0.9986044548567902,1.0652433222552162,0.9986044548567901,1.3275847876569402,7,0.2222222222222222,True,0.9986044548567901
England,0.8913256606193873,0.9599232162223419,0.9588523225543347,0.9692542708947067,0.8468164877345246,1,0.9615384615384616,False,0.9692542708947067
France,0.974170203944949,1.183283620561835,1.6241492833862483,1.3090750950963526,1.834642960555862,1,0.9615384615384616,False,1.3090750950963526
Germany,0.9921657489525011,1.0766942924751912,1.0983773172561315,1.0810223738292333,1.4429547854525415,0,1.0,False,1.0810223738292333
Ghana,0.02112334165502516,0.510947325285549,0.6567607436157405,0.5464106557219863,1.2808109844815165,4,0.7083333333333334,False,0.5464106557219863
Haiti,-0.5098813710599559,0.18901257025878856,0.3815796992881273,0.21432164813276233,0.655215308379933,6,0.3888888888888889,True,0.21432164813276233
IR Iran,-0.7159913384830764,-0.23248448187418605,0.20456282698007475,-0.19355423780251213,0.7220381927230908,7,0.21428571428571427,True,-0.19355423780251213
Iraq,-0.9710511128079439,-0.9090799579849574,-0.8859081132214074,-0.9090799579849574,-1.039937772664217,9,0.08,True,-0.9090799579849574
Japan,0.4776438113945097,0.6127058298350938,0.6143895287915581,0.6266751289645422,0.7377650081623106,0,0.8461538461538461,False,0.6266751289645422
Jordan,-1.0049285398609926,1.2747299133310843,1.2747299133310843,1.2747299133310843,1.3325966054809668,9,0.045454545454545456,True,1.2747299133310843
Mexico,-0.39776499046976455,0.40959022374081805,0.4527438021763035,0.4095902237408181,0.4739226604863204,2,0.4230769230769231,True,0.4095902237408181
Morocco,0.38808832203397,0.764778758657749,0.9644293835335745,0.8334450908228411,0.8900997368783254,0,0.8,False,0.8334450908228411
Netherlands,0.7728157123376901,0.8145121589947527,0.8591085096629955,0.807703408240299,0.7663968404206357,0,0.9615384615384616,False,0.807703408240299
New Zealand,-0.6718816512654373,-0.018742596967312043,0.15678613415953252,0.0029011995087985304,0.5844786100027091,7,0.3076923076923077,True,0.0029011995087985304
Norway,0.6160255705676593,1.1235481084334524,1.2244040453307208,1.162554612397149,1.591441149800507,0,0.9230769230769231,False,1.162554612397149
Panama,-0.8974531399541298,0.2436943425456555,0.2627516571199377,0.24369434254565545,0.7886173385668199,8,0.13636363636363635,True,0.24369434254565545
Paraguay,-0.6629447143115036,0.11295759069682572,0.3579264519461461,0.11295759069682573,0.663520204807525,5,0.23809523809523808,True,0.11295759069682573
Portugal,0.695308607400353,0.7283485498517189,0.7369129516681032,0.7483924492638907,0.6571409820017216,1,0.8846153846153846,False,0.7483924492638907
Qatar,-1.1127710115948648,-1.0564907815120914,-1.0564907815120914,-1.0564907815120914,-1.039937772664217,10,0.0,True,-1.0564907815120914
Saudi Arabia,-1.020569591475928,-0.0402396674844091,-0.040239667484409124,-0.040239667484409124,0.8428269920910878,9,0.045454545454545456,True,-0.040239667484409124
Scotland,0.23249831582810723,0.5894856426214021,0.7581633353460492,0.7026706465751958,0.9596462929622618,1,0.8333333333333334,False,0.7026706465751958
Senegal,0.4420006613580744,0.6117825345576513,0.9028425216569764,0.6606805940264427,0.6606800100013632,1,0.84,False,0.6606805940264427
South Africa,-0.9767778129129746,0.6683400121570527,0.6683400121570527,0.6683400121570527,0.688890263704196,8,0.09090909090909091,True,0.6683400121570527
South Korea,-0.16201483586485269,0.4781418874647277,0.4313170881784966,0.48442893573217555,0.9260728733584302,1,0.5384615384615384,True,0.48442893573217555
Spain,0.9001859576407472,0.9477860088643066,1.1564350978924496,0.9579840309160241,1.7272128807996925,0,1.0,False,0.9579840309160241
Sweden,0.3264828301748027,0.7674788143994451,0.8047086976141988,0.7999391686539059,0.6696358157378973,0,0.8076923076923077,False,0.7999391686539059
Switzerland,0.5735639258723061,0.650839558941682,0.6183526523326155,0.7036822510666485,0.8574256673292417,0,0.9615384615384616,False,0.7036822510666485
Tunisia,-0.2198866481330144,0.2577880451487317,0.44159101063928935,0.2736122108866162,0.7865775959893047,3,0.5238095238095238,True,0.2736122108866162
Turkey,0.7114466440524887,0.9134539582261841,1.1155556556241377,1.002806668574019,1.020453526215885,1,0.9230769230769231,False,1.002806668574019
