club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url
10,arminia-bielefeld,Arminia Bielefeld,L1,,27,25.3,15,55.6,4,SchücoArena,26515,+€5.90m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/arminia-bielefeld/startseite/verein/10
10004,paris-fc,Paris Football Club,FR1,,31,28.7,17,54.8,9,Stade Jean Bouin,19904,€-72.30m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/paris-fc/startseite/verein/10004
10010,esporte-clube-bahia,Esporte Clube Bahia,BRA1,,32,26.7,6,18.8,3,Arena Fonte Nova,47364,+€8.14m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/esporte-clube-bahia/startseite/verein/10010
1003,leicester-city,Leicester City,GB1,,29,25.9,17,58.6,9,King Power Stadium,32259,+€57.30m,Steve Cooper,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/leicester-city/startseite/verein/1003
1005,us-lecce,Unione Sportiva Lecce,IT1,,27,25.3,23,85.2,13,Ettore Giardiniero,31559,+€8.62m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/us-lecce/startseite/verein/1005
10090,deportivo-pasto,Asociación Deportivo Pasto,COL1,,26,28.5,5,19.2,1,Estadio Departamental Libertad,20000,+€1.10m,Gustavo Florentín,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/deportivo-pasto/startseite/verein/10090
10093,independiente-medellin,Independiente Medellín,COL1,,26,28.3,3,11.5,0,Estadio Atanasio Girardot,45943,+€6.21m,Alfredo Arias,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/independiente-medellin/startseite/verein/10093
1010,fc-watford,Watford FC,GB1,,30,26.3,24,80.0,12,Vicarage Road,21577,+€42.02m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/fc-watford/startseite/verein/1010
1011,halmstads-bk,Halmstads BK,SE1,,24,24.9,11,45.8,1,Örjans Vall,10873,+€2.69m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/halmstads-bk/startseite/verein/1011
10217,sarpsborg-08-ff,Sarpsborg 08 Fotballforening,NO1,,26,25.7,12,46.2,2,Sarpsborg Stadion,8022,+€4.80m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/sarpsborg-08-ff/startseite/verein/10217
1022,cerezo-osaka,Cerezo Osaka,JAP1,,31,26.9,6,19.4,1,YANMAR Hanasaka Stadium,24481,+-0,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/cerezo-osaka/startseite/verein/1022
1023,se-palmeiras-sao-paulo,Sociedade Esportiva Palmeiras,BRA1,,30,25.5,8,26.7,10,Allianz Parque,43713,+€31.54m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/se-palmeiras-sao-paulo/startseite/verein/1023
1025,fc-bologna,Bologna Football Club 1909,IT1,,27,27.3,17,63.0,11,Stadio Renato Dall’Ara,36462,+€27.70m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-bologna/startseite/verein/1025
1029,club-atletico-velez-sarsfield,Club Atlético Vélez Sársfield,ARG1,,27,26.1,6,22.2,2,José Amalfitani,49747,+€29.92m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-velez-sarsfield/startseite/verein/1029
1030,argentinos-juniors,Asociación Atlética Argentinos Juniors,ARG1,,32,27.5,4,12.5,2,Diego Armando Maradona,22063,+€16.53m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/argentinos-juniors/startseite/verein/1030
1031,luton-town,Luton Town,GB1,,30,26.1,16,53.3,7,Kenilworth Road,11850,+€9.00m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/luton-town/startseite/verein/1031
1032,fc-reading,Reading FC,GB1,,30,23.1,14,46.7,5,Select Car Leasing Stadium,24161,+€3.06m,,2012,../data/raw/transfermarkt-scraper/2012/clubs.json.gz,https://www.transfermarkt.co.uk/fc-reading/startseite/verein/1032
1038,sampdoria-genua,UC Sampdoria,IT1,,33,24.3,5,15.6,4,Luigi Ferraris,36348,+€1.75m,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/sampdoria-genua/startseite/verein/1038
1039,queens-park-rangers,Queens Park Rangers,GB1,,26,25.9,15,57.7,8,Loftus Road Stadium,18360,+€900k,,2014,../data/raw/transfermarkt-scraper/2014/clubs.json.gz,https://www.transfermarkt.co.uk/queens-park-rangers/startseite/verein/1039
1041,olympique-lyon,Olympique Lyonnais,FR1,,29,25.5,23,79.3,12,Groupama Stadium,59186,+€62.11m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/olympique-lyon/startseite/verein/1041
1044,djurgardens-if,Djurgårdens Idrottsförening,SE1,,23,26.4,11,47.8,3,3Arena,30000,+€13.00m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/djurgardens-if/startseite/verein/1044
1047,como-1907,Calcio Como,IT1,,27,26.4,25,92.6,10,Giuseppe Sinigaglia,12039,€-110.51m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/como-1907/startseite/verein/1047
10484,kasimpasa,Kasımpaşa A.Ş.,TR1,,31,27.2,15,48.4,6,Recep Tayyip Erdoğan Stadyumu,13797,+€6.25m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/kasimpasa/startseite/verein/10484
1049,fc-valencia,Valencia Club de Fútbol S. A. D.,ES1,,27,28.3,14,51.9,3,Mestalla,49430,+€9.63m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-valencia/startseite/verein/1049
10492,esporte-clube-juventude,Esporte Clube Juventude,BRA1,,29,28.3,3,10.3,0,Estádio Alfredo Jaconi,23726,+€1.13m,Roger Machado,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/esporte-clube-juventude/startseite/verein/10492
105,sv-darmstadt-98,SV Darmstadt 98,L1,,27,25.6,13,48.1,1,Merck-Stadion am Böllenfalltor,17810,+€3.05m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/sv-darmstadt-98/startseite/verein/105
1050,fc-villarreal,Villarreal Club de Fútbol S.A.D.,ES1,,27,26.5,13,48.1,11,La Cerámica,23500,+€2.50m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-villarreal/startseite/verein/1050
10503,deportes-tolima,Deportes Tolima,COL1,,25,26.9,2,8.0,1,Estadio Manuel Murillo Toro,28100,+€1.29m,David González,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/deportes-tolima/startseite/verein/10503
10511,club-atletico-san-martin-sj-,CA San Martín (San Juan),ARG1,,30,27.4,1,3.3,0,Ingeniero Hilario Sánchez,26500,+-0,Leandro Romagnoli,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-san-martin-sj-/startseite/verein/10511
1053,aalborg-bk,Aalborg BK,DK1,,26,24.6,14,53.8,1,Aalborg Portland Park,13310,+€7.12m,Menno van Dam,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/aalborg-bk/startseite/verein/1053
1057,bryne-fk,Bryne FK,NO1,,23,24.0,8,34.8,0,Bryne Stadion,5500,+€210k,Ole Kevin Knappen,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/bryne-fk/startseite/verein/1057
1059,hammarby-if,Hammarby IF,SE1,,24,24.4,10,41.7,6,3Arena,30000,+€21.10m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/hammarby-if/startseite/verein/1059
1061,los-angeles-galaxy,Los Angeles Galaxy,MLS1,,27,26.3,14,51.9,2,Dignity Health Sports Park,27000,€-1.01m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/los-angeles-galaxy/startseite/verein/1061
1062,shimizu-s-pulse,S-Pulse,JAP1,,36,26.6,8,22.2,3,IAI Stadium Nihondaira,20299,+€340k,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/shimizu-s-pulse/startseite/verein/1062
1063,viborg-ff,Viborg Fodsports Forening,DK1,,25,24.3,12,48.0,2,Energi Viborg Arena,9566,+€8.88m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/viborg-ff/startseite/verein/1063
1066,nagoya-grampus,Nagoya Grampus Eight,JAP1,,36,27.8,3,8.3,2,Toyota Stadium,45000,€-2.00m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/nagoya-grampus/startseite/verein/1066
10690,zorya-lugansk,FC Zorya Lugansk,UKR1,,27,25.5,12,44.4,0,Valeriy Lobanovsky Stadion,16873,€-300k,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/zorya-lugansk/startseite/verein/10690
1071,wigan-athletic,Wigan Athletic,GB1,,26,24.0,8,30.8,2,DW Stadium,25133,+€290k,,2012,../data/raw/transfermarkt-scraper/2012/clubs.json.gz,https://www.transfermarkt.co.uk/wigan-athletic/startseite/verein/1071
1075,sc-braga,Sporting Clube de Braga,PO1,,29,25.4,18,62.1,9,Estádio Municipal de Braga,30286,+€15.24m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/sc-braga/startseite/verein/1075
1082,losc-lille,Lille Olympique Sporting Club,FR1,,28,26.5,19,67.9,14,Decathlon Arena-Stade Pierre-Mauroy,50186,+€61.60m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/losc-lille/startseite/verein/1082
1083,fk-rostov,FK Rostov,RU1,,29,25.3,8,27.6,7,Rostov Arena,45415,+€3.97m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fk-rostov/startseite/verein/1083
1084,fc-malaga,Málaga CF,ES1,,27,27.9,8,29.6,0,La Rosaleda,30044,+€950k,,2017,../data/raw/transfermarkt-scraper/2017/clubs.json.gz,https://www.transfermarkt.co.uk/fc-malaga/startseite/verein/1084
1085,vitoria-setubal-fc,Vitória Setúbal FC,PO1,,29,26.0,10,34.5,0,Estádio do Bonfim,18642,+-0,,2019,../data/raw/transfermarkt-scraper/2019/clubs.json.gz,https://www.transfermarkt.co.uk/vitoria-setubal-fc/startseite/verein/1085
10870,fortaleza-esporte-clube,Fortaleza Esporte Clube,BRA1,,29,27.1,5,17.2,0,Estádio Governador Plácido Castelo,63904,+€6.25m,Juan Pablo Vojvoda,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fortaleza-esporte-clube/startseite/verein/10870
1090,az-alkmaar,Alkmaar Zaanstreek,NL1,,29,24.3,9,31.0,3,AFAS Stadion,19500,+€25.00m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/az-alkmaar/startseite/verein/1090
1091,paok-thessaloniki,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,GR1,,31,28.0,18,58.1,10,Toumba Stadium,28703,€-9.80m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/paok-thessaloniki/startseite/verein/1091
1092,if-brommapojkarna,Idrottsföreningen  Brommapojkarna,SE1,,31,23.1,13,41.9,1,Grimsta IP,5000,+€11.59m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/if-brommapojkarna/startseite/verein/1092
1095,es-troyes-ac,ESTAC Troyes,FR1,,29,23.1,16,57.1,5,Stade de l'Aube,21877,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/es-troyes-ac/startseite/verein/1095
1096,royal-antwerpen-fc,Royal Antwerp Football Club,BE1,,31,24.5,17,54.8,5,Bosuilstadion,21000,+€42.75m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/royal-antwerpen-fc/startseite/verein/1096
10997,clube-do-remo-pa-,Clube do Remo,BRA1,,36,28.7,9,25.0,0,Estádio Evandro Almeida,13792,€-2.84m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/clube-do-remo-pa-/startseite/verein/10997
11,fc-arsenal,Arsenal Football Club,GB1,,24,26.6,17,70.8,20,Emirates Stadium,60704,€-280.73m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-arsenal/startseite/verein/11
1100,sk-brann,Sportsklubben Brann,NO1,,30,25.3,11,36.7,6,Brann Stadion,17500,+€9.79m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/sk-brann/startseite/verein/1100
1101,if-elfsborg-boras,Idrottsföreningen Elfsborg,SE1,,26,26.0,11,42.3,1,Borås Arena,16200,+€9.34m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/if-elfsborg-boras/startseite/verein/1101
110302,avs-futebol-sad,AVS Futebol SAD,PO1,,25,28.4,20,80.0,0,Estádio do Clube Desportivo das Aves,6230,+€3.00m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/avs-futebol-sad/startseite/verein/110302
1106,club-de-gimnasia-y-esgrima-la-plata,Club de Gimnasia y Esgrima La Plata,ARG1,,33,25.4,2,6.1,0,Juan Carmelo Zerillo,30973,+€2.00m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-de-gimnasia-y-esgrima-la-plata/startseite/verein/1106
