team_name,team_code,squad_players,matched_players,unmatched_players,match_rate,players_with_market_value,players_missing_market_value,squad_market_value_eur,top_5_value_eur,depth_concentration,log_squad_value,log_top5_value,squad_value_z,top5_z,player_value_adjustment,star_player_adjustment,squad_depth_adjustment,total_player_impact_adjustment_raw,total_player_impact_adjustment
Algeria,ALG,26,25,1,0.9615384615384616,20,5,198800000.0,133000000.0,0.6690140845070423,19.107809852186747,18.705859686186027,0.2105516955772116,0.2637022730103875,6.316550867316348,3.9555340951558127,-4.760563380281688,5.511521582190472,5.511521582190472
Argentina,ARG,26,26,0,1.0,25,1,836500000.0,420000000.0,0.502092050209205,20.54473707839115,19.855765269241687,1.1710473974473323,1.156437882893381,35.13142192341998,17.346568243400714,-0.0,52.47799016682069,52.47799016682069
Australia,AUS,26,26,0,1.0,16,10,34050000.0,23500000.0,0.6901615271659325,17.343340590559794,16.972510979114386,-0.9688853078897608,-1.081992658773068,-29.06655923669283,-16.22988988159602,-5.606461086637298,-50.902910204926144,-50.902910204926144
Austria,AUT,26,26,0,1.0,23,3,258400000.0,127000000.0,0.4914860681114551,19.37001932987272,18.659697644422867,0.3858222811114866,0.227864114544046,11.574668433344598,3.4179617181606905,-0.0,14.992630151505288,14.992630151505288
Belgium,BEL,26,26,0,1.0,26,0,453800000.0,206000000.0,0.4539444689290436,19.933167130310014,19.143386726753857,0.7622512553653902,0.6033788300749132,22.867537660961705,9.0506824511237,-0.0,31.918220112085404,31.918220112085404
Bosnia and Herzegovina,BIH,26,25,1,0.9615384615384616,18,7,77350000.0,49500000.0,0.6399482870071105,18.16385113498335,17.717483227538917,-0.4204254855091464,-0.5036293006477013,-12.612764565274391,-7.554439509715519,-3.5979314802844176,-23.765135555274327,-23.765135555274327
Brazil,BRA,26,26,0,1.0,22,4,849500000.0,430000000.0,0.5061801059446733,20.560158499076262,19.87929576665188,1.1813556496779645,1.1747059157352775,35.440669490338934,17.620588736029166,-0.0,53.061258226368096,53.061258226368096
Cabo Verde,CPV,26,21,5,0.8076923076923077,17,4,70925000.0,60500000.0,0.853013746915756,18.07713353865919,17.91815392300107,-0.4783907582292384,-0.3478374875294416,-14.351722746877153,-5.217562312941625,-12.12054987663024,-31.689834936449017,-31.689834936449017
Canada,CAN,26,25,1,0.9615384615384616,15,10,159950000.0,123000000.0,0.7689903094717099,18.8903718243598,18.627694913336693,0.065208015436524,0.203018615856913,1.95624046309572,3.0452792378536953,-8.759612378868393,-3.7580926779189774,-3.7580926779189774
Colombia,COL,26,26,0,1.0,19,7,216300000.0,150000000.0,0.6934812760055479,19.19217689092329,18.82614585206053,0.2669457680174749,0.3570871084567114,8.008373040524248,5.356306626850671,-5.739251040221913,7.625428627153005,7.625428627153005
Cote d'Ivoire,CIV,26,26,0,1.0,24,2,419800000.0,198000000.0,0.4716531681753216,19.855288965350805,19.103777588658808,0.7101945879512453,0.5726280549023471,21.30583763853736,8.589420823535207,-0.0,29.89525846207257,29.89525846207257
Croatia,CRO,26,26,0,1.0,24,2,307650000.0,189000000.0,0.6143344709897611,19.544473331150773,19.05725757302392,0.5024338362034045,0.536511981425061,15.073015086102137,8.047679721375914,-2.5733788395904433,20.54731596788761,20.54731596788761
Curacao,CUW,26,25,1,0.9615384615384616,22,3,34425000.0,20000000.0,0.5809731299927379,17.35429360257899,16.811242831518264,-0.961563906516666,-1.2071940841947548,-28.846917195499977,-18.107911262921323,-1.238925199709513,-48.19375365813082,-48.19375365813082
Czechia,CZE,26,26,0,1.0,15,11,126400000.0,84000000.0,0.6645569620253164,18.65496203967703,18.246327356807587,-0.0921486566638664,-0.0930582126970356,-2.7644596999159927,-1.395873190455534,-4.582278481012656,-8.742611371384182,-8.742611371384182
DR Congo,COD,26,24,2,0.9230769230769232,21,3,115250000.0,78000000.0,0.6767895878524945,18.562614239841032,18.172219384653864,-0.1538773672081964,-0.1505923500146757,-4.616321016245893,-2.2588852502201364,-5.07158351409978,-11.946789780565808,-11.946789780565808
Ecuador,ECU,26,25,1,0.9615384615384616,17,8,297600000.0,251000000.0,0.8434139784946236,19.511260860923212,19.34096349709606,0.4802333835149791,0.7567686571783272,14.407001505449372,11.351529857674908,-11.736559139784944,14.021972223339336,14.021972223339336
Egypt,EGY,26,18,8,0.6923076923076923,10,8,112075000.0,107500000.0,0.9591791211242472,18.53467884800578,18.49300140553199,-0.1725504240606954,0.0984485601852293,-5.176512721820862,1.4767284027784395,-16.367164844969885,-20.066949164012307,-20.066949164012307
England,ENG,26,26,0,1.0,26,0,1294000000.0,545000000.0,0.4211746522411128,20.98100403302512,20.11629635262752,1.462664486435722,1.35870264188505,43.87993459307166,20.380539628275752,-0.0,64.26047422134741,64.26047422134741
France,FRA,26,26,0,1.0,26,0,1463000000.0,600000000.0,0.4101161995898838,21.1037549589844,20.21244021318042,1.544715779385261,1.43334446400676,46.34147338155783,21.5001669601014,-0.0,67.84164034165923,67.84164034165923
Germany,GER,26,26,0,1.0,25,1,925500000.0,430000000.0,0.4646137223122636,20.645844689977828,19.87929576665188,1.238631492580581,1.1747059157352775,37.15894477741743,17.620588736029166,-0.0,54.779533513446594,54.779533513446594
Ghana,GHA,26,24,2,0.9230769230769232,20,4,181100000.0,140000000.0,0.7730535615681944,19.014559922853643,18.75715298057358,0.1482199680611803,0.3035241080573112,4.446599041835411,4.552861620859669,-8.922142462727773,0.0773181999673049,0.0773181999673049
Haiti,HAI,26,18,8,0.6923076923076923,15,3,54050000.0,44000000.0,0.8140610545790934,17.805420102049492,17.599700191882537,-0.6600141440518753,-0.5950708169947695,-19.80042432155626,-8.926062254921542,-10.562442183163734,-39.288928759641536,-39.288928759641536
IR Iran,IRN,26,14,12,0.5384615384615384,13,1,18475000.0,12300000.0,0.6657645466847091,16.73192902479854,16.325109820342647,-1.3775755813273296,-1.584606157508529,-41.32726743981989,-23.769092362627937,-4.630581867388361,-69.7269416698362,-69.7269416698362
Iraq,IRQ,26,25,1,0.9615384615384616,7,18,7500000.0,6750000.0,0.9,15.83041357850654,15.725053062848712,-1.980182098583071,-2.0504635663770534,-59.40546295749213,-30.7569534956558,-14.0,-104.16241645314793,-75.0
Japan,JPN,26,26,0,1.0,20,6,224100000.0,111000000.0,0.4953145917001338,19.227602938771156,18.525040759276607,0.290625858471326,0.1233224910774071,8.718775754139779,1.8498373661611072,-0.0,10.568613120300888,10.568613120300888
Jordan,JOR,26,22,4,0.8461538461538461,2,20,6150000.0,6150000.0,1.0,15.6319626397827,15.6319626397827,-2.1128341008558857,-2.1227348352835533,-63.385023025676574,-31.8410225292533,-18.0,-113.22604555492988,-75.0
Mexico,MEX,26,26,0,1.0,11,15,115500000.0,88000000.0,0.7619047619047619,18.56478108792612,18.29284737244248,-0.1524289652053815,-0.0569421392197466,-4.5728689561614475,-0.8541320882961991,-8.476190476190473,-13.90319152064812,-13.90319152064812
Morocco,MAR,26,25,1,0.9615384615384616,20,5,368400000.0,222000000.0,0.6026058631921825,19.724679862345425,19.21818793983655,0.6228905966467241,0.6614511688524327,18.68671789940172,9.921767532786491,-2.1042345276872965,26.50425090450091,26.50425090450091
Netherlands,NED,26,26,0,1.0,26,0,797100000.0,350000000.0,0.439091707439468,20.49649069939815,19.67344371244773,1.1387977199351436,1.0148915258727025,34.163931598054305,15.223372888090534,-0.0,49.38730448614484,49.38730448614484
New Zealand,NZL,26,26,0,1.0,15,11,22875000.0,17500000.0,0.7650273224043715,16.94555516912586,16.67771143889374,-1.234779906159094,-1.310861925267763,-37.04339718477282,-19.662928879016444,-8.60109289617486,-65.30741895996412,-65.30741895996412
Norway,NOR,26,26,0,1.0,21,5,524000000.0,372000000.0,0.7099236641221374,20.077002242285317,19.73440441223742,0.8583960039030127,1.0622187049972929,25.751880117090383,15.933280574959394,-6.396946564885493,35.28821412716428,35.28821412716428
Panama,PAN,26,22,4,0.8461538461538461,6,16,15200000.0,15000000.0,0.986842105263158,16.536805985816503,16.523560759066484,-1.5080030914059934,-1.430537664908731,-45.240092742179804,-21.45806497363096,-17.47368421052631,-84.17184192633708,-75.0
Paraguay,PAR,26,21,5,0.8076923076923077,10,11,106000000.0,77000000.0,0.7264150943396226,18.47894965207634,18.15931597981796,-0.2098018952436125,-0.1606099802927546,-6.294056857308377,-2.40914970439132,-7.056603773584902,-15.759810335284598,-15.759810335284598
Portugal,POR,26,26,0,1.0,26,0,1022500000.0,445000000.0,0.4352078239608802,20.745516445881233,19.913584840130515,1.3052558082711865,1.2013264290846664,39.157674248135585,18.019896436269995,-0.0,57.17757068440558,57.17757068440558
Qatar,QAT,26,24,2,0.9230769230769232,5,19,8800000.0,8800000.0,1.0,15.990262279448435,15.990262279448435,-1.8733332704696464,-1.8445669125851871,-56.1999981140894,-27.66850368877781,-18.0,-101.8685018028672,-75.0
Saudi Arabia,KSA,26,22,4,0.8461538461538461,3,19,5650000.0,5650000.0,1.0,15.547166103122624,15.547166103122624,-2.1695152657125187,-2.1885670992421633,-65.08545797137556,-32.82850648863245,-18.0,-115.913964460008,-75.0
Scotland,SCO,26,24,2,0.9230769230769232,24,0,232850000.0,141000000.0,0.6055400472407129,19.26590502739266,18.764270448342444,0.3162284017474937,0.30904979383803,9.486852052424812,4.635746907570451,-2.221601889628513,11.90099707036675,11.90099707036675
Senegal,SEN,26,25,1,0.9615384615384616,24,1,390800000.0,192000000.0,0.4912998976458546,19.783706478132903,19.073005929992057,0.6623461861337215,0.5487383061509981,19.870385584011647,8.23107459226497,-0.0,28.101460176276618,28.101460176276618
South Africa,RSA,26,22,4,0.8461538461538461,2,20,13600000.0,13600000.0,1.0,16.42558035070628,16.42558035070628,-1.5823504504878698,-1.506605301159,-47.470513514636096,-22.599079517385,-18.0,-88.06959303202109,-75.0
South Korea,KOR,26,26,0,1.0,12,14,96000000.0,81500000.0,0.8489583333333334,18.37985874943211,18.21611357821109,-0.2760379469715906,-0.1165148481457811,-8.281138409147719,-1.7477227221867169,-11.958333333333332,-21.98719446466777,-21.98719446466777
Spain,ESP,26,26,0,1.0,25,1,990000000.0,395000000.0,0.398989898989899,20.71321550109291,19.794396322865396,1.2836646531523024,1.1087937592553945,38.50993959456907,16.631906388830917,-0.0,55.14184598339999,55.14184598339999
Sweden,SWE,26,26,0,1.0,20,6,439800000.0,310000000.0,0.7048658481127785,19.901830636084934,19.552082855443462,0.7413047749410674,0.920672347976614,22.239143248232025,13.81008521964921,-6.194633924511139,29.854594543370094,29.854594543370094
Switzerland,SUI,26,26,0,1.0,23,3,310300000.0,167000000.0,0.5381888495004834,19.553050129418608,18.93350437038103,0.5081668877608055,0.4404354926556131,15.245006632824166,6.606532389834197,-0.0,21.851539022658365,21.851539022658365
Tunisia,TUN,26,21,5,0.8076923076923077,13,8,45200000.0,32500000.0,0.7190265486725663,17.62660764480246,17.296750647299966,-0.7795390535215626,-0.8302673848103774,-23.38617160564688,-12.454010772155662,-6.761061946902651,-42.60124432470519,-42.60124432470519
Turkey,TUR,26,26,0,1.0,25,1,404900000.0,218000000.0,0.5384045443319339,19.81915068100239,19.20000562075336,0.6860384120805304,0.6473352240696563,20.581152362415914,9.710028361044843,-0.0,30.291180723460755,30.291180723460755
USA,USA,26,26,0,1.0,18,8,322800000.0,175000000.0,0.5421313506815365,19.59254349436007,18.980296531887788,0.5345657245194771,0.4767628480976793,16.036971735584313,7.15144272146519,-0.0,23.188414457049504,23.188414457049504
Uruguay,URU,26,26,0,1.0,18,8,452750000.0,317000000.0,0.7001656543346217,19.9308506547278,19.57441233184155,0.7607028367679624,0.9380079614603258,22.82108510303887,14.070119421904888,-6.006626173384868,30.884578351558893,30.884578351558893
Uzbekistan,UZB,26,24,2,0.9230769230769232,8,16,52850000.0,50300000.0,0.9517502365184484,17.78296827028052,17.733515635069967,-0.6750217850234864,-0.4911824516837271,-20.25065355070459,-7.367736775255906,-16.070009460737936,-43.68839978669843,-43.68839978669843
